Date,Year,Month,WaterYear,DischargeVolume626_Q_level,DischargeVolume626_Q_flags,DischargeVolume626,DischargeVolume626_Min,DischargeVolume626_Max,DischargeVolume693_Q_level,DischargeVolume693_Q_flags,DischargeVolume693,DischargeVolume693_Min,DischargeVolume693_Max,DischargeVolume703_Q_level,DischargeVolume703_Q_flags,DischargeVolume703,DischargeVolume703_Min,DischargeVolume703_Max,DischargeVolume708_Q_level,DischargeVolume708_Q_flags,DischargeVolume708,DischargeVolume708_Min,DischargeVolume708_Max,DischargeVolume819_Q_level,DischargeVolume819_Q_flags,DischargeVolume819,DischargeVolume819_Min,DischargeVolume819_Max,DischargeVolume844_Q_level,DischargeVolume844_Q_flags,DischargeVolume844,DischargeVolume844_Min,DischargeVolume844_Max,DischargeVolume1015_Q_level,DischargeVolume1015_Q_flags,DischargeVolume1015,DischargeVolume1015_Min,DischargeVolume1015_Max
9/15/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,1428.39,0,10039.17,1,,,,,1,,,,,1,,,,
9/16/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,1234.65,0,9409.05,1,,,,,1,,,,,1,,,,
9/17/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,1147.71,0,9189.78,1,,,,,1,,,,,1,,,,
9/18/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,1143.45,0,9207.99,1,,,,,1,,,,,1,,,,
9/19/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,1052.67,0,9237.54,1,,,,,1,,,,,1,,,,
9/20/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,16553.79,9242.49,25191.18,1,,,,,1,,,,,1,,,,
9/21/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,AV:SVC:1/24 AV,9412.23,553.83,20192.1,1,,,,,1,,,,,1,,,,
9/22/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,AV,22260.09,13259.73,31640.73,1,,,,,1,,,,,1,,,,
9/23/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,AV,58537.8,47962.68,69151.74,1,,,,,1,,,,,1,,,,
9/24/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,AV,35113.26,24257.79,45875.19,1,,,,,1,,,,,1,,,,
9/25/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,AV,27266.85,17981.22,36445.14,1,,,,,1,,,,,1,,,,
9/26/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,AV,26073.72,17580.54,34537.17,1,,,,,1,,,,,1,,,,
9/27/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,AV,36982.89,27444.87,46449.69,1,,,,,1,,,,,1,,,,
9/28/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,AV,132948.99,120852,145048.95,1,,,,,1,,,,,1,,,,
9/29/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,AV,177291.99,167709.66,186957.99,1,,,,,1,,,,,1,,,,
9/30/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,2,AV,157790.97,146800.11,168794.82,1,,,,,1,,,,,1,,,,
10/1/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,130118.55,115811.19,144372.87,1,,,,,1,,,,,1,,,,
10/2/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,115413.99,99795.96,130972.53,1,,,,,1,,,,,1,,,,
10/3/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,85970.82,72481.89,99497.91,1,,,,,1,,,,,1,,,,
10/4/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,72383.13,62002.98,82867.23,1,,,,,1,,,,,1,,,,
10/5/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,110799.96,99039.09,122609.4,1,,,,,1,,,,,1,,,,
10/6/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,90128.07,76306.02,103973.67,1,,,,,1,,,,,1,,,,
10/7/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,96655.32,82349.37,110962.95,1,,,,,1,,,,,1,,,,
10/8/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,73238.73,62031.06,84540.24,1,,,,,1,,,,,1,,,,
10/9/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,52801.05,44223.36,61473.87,1,,,,,1,,,,,1,,,,
10/10/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,36378.81,25504.23,47173.68,1,,,,,1,,,,,1,,,,
10/11/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,27649.32,18265.32,36913.17,1,,,,,1,,,,,1,,,,
10/12/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,25031.88,16619.43,33411.99,1,,,,,1,,,,,1,,,,
10/13/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,21572.04,13166.58,29951.97,1,,,,,1,,,,,1,,,,
10/14/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,17825.25,8641.89,26953.14,1,,,,,1,,,,,1,,,,
10/15/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,13979.01,5832,22114.56,1,,,,,1,,,,,1,,,,
10/16/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,10610.52,1538.97,20901.96,1,,,,,1,,,,,1,,,,
10/17/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,9164.73,298.41,20298.9,1,,,,,1,,,,,1,,,,
10/18/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,8535.06,746.37,16774.41,1,,,,,1,,,,,1,,,,
10/19/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,7274.61,88.77,14816.79,1,,,,,1,,,,,1,,,,
10/20/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,6043.71,0,13975.41,1,,,,,1,,,,,1,,,,
10/21/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,4986.21,0,13424.7,1,,,,,1,,,,,1,,,,
10/22/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,4229.22,0,12066.15,1,,,,,1,,,,,1,,,,
10/23/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,3663.42,0,11069.37,1,,,,,1,,,,,1,,,,
10/24/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,3187.59,0,10940.52,1,,,,,1,,,,,1,,,,
10/25/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,2909.52,0,11433.45,1,,,,,1,,,,,1,,,,
10/26/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,2691.57,0,11723.49,1,,,,,1,,,,,1,,,,
10/27/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,3462.06,0,11050.89,1,,,,,1,,,,,1,,,,
10/28/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,3159.63,0,11059.74,1,,,,,1,,,,,1,,,,
10/29/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,2699.28,0,11702.37,1,,,,,1,,,,,1,,,,
10/30/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,2461.62,0,11709,1,,,,,1,,,,,1,,,,
10/31/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,2505.24,0,11715.66,1,,,,,1,,,,,1,,,,
11/1/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,3354.84,0,11928.45,1,,,,,1,,,,,1,,,,
11/2/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,4079.1,0,11826.18,1,,,,,1,,,,,1,,,,
11/3/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,3245.91,0,10935.09,1,,,,,1,,,,,1,,,,
11/4/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,2818.08,0,11574.81,1,,,,,1,,,,,1,,,,
11/5/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,2747.52,0,11680.74,1,,,,,1,,,,,1,,,,
11/6/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV:EV:1/24 EV,6405.36,176.19,14177.49,1,,,,,1,,,,,1,,,,
11/7/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,110126.79,99305.19,121163.31,1,,,,,1,,,,,1,,,,
11/8/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,72566.19,63255.21,81963.48,1,,,,,1,,,,,1,,,,
11/9/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,96685.2,82789.08,110591.88,1,,,,,1,,,,,1,,,,
11/10/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,62178.03,53800.02,70680.99,1,,,,,1,,,,,1,,,,
11/11/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,49899.84,39175.95,60651.21,1,,,,,1,,,,,1,,,,
11/12/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,136303.08,123668.01,148935.72,1,,,,,1,,,,,1,,,,
11/13/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,110385.03,95301.57,125429.19,1,,,,,1,,,,,1,,,,
11/14/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,86174.97,72669.57,99717.66,1,,,,,1,,,,,1,,,,
11/15/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,209804.25,197993.94,221763.81,1,,,,,1,,,,,1,,,,
11/16/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,121784.52,106932.27,136581.81,1,,,,,1,,,,,1,,,,
11/17/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,93157.5,79092.93,107235.12,1,,,,,1,,,,,1,,,,
11/18/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,77530.02,65471.55,89663.85,1,,,,,1,,,,,1,,,,
11/19/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,52742.07,44059.74,61513.2,1,,,,,1,,,,,1,,,,
11/20/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,32964.18,22478.94,43333.59,1,,,,,1,,,,,1,,,,
11/21/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,27190.41,17910,36366.57,1,,,,,1,,,,,1,,,,
11/22/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,24540.69,16352.7,32706.42,1,,,,,1,,,,,1,,,,
11/23/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,21084.12,12347.43,29784.87,1,,,,,1,,,,,1,,,,
11/24/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,17892.93,8698.8,27030.81,1,,,,,1,,,,,1,,,,
11/25/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,13810.47,5534.13,22078.26,1,,,,,1,,,,,1,,,,
11/26/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,10060.17,806.07,21170.85,1,,,,,1,,,,,1,,,,
11/27/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,9283.41,438.57,20267.01,1,,,,,1,,,,,1,,,,
11/28/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,21267.42,13032.33,29483.07,1,,,,,1,,,,,1,,,,
11/29/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,18604.23,9483.54,27671.55,1,,,,,1,,,,,1,,,,
11/30/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,33822.06,25052.28,42572.1,1,,,,,1,,,,,1,,,,
12/1/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,126622.26,113388.54,139882.26,1,,,,,1,,,,,1,,,,
12/2/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,81186.87,68382.96,94048.98,1,,,,,1,,,,,1,,,,
12/3/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,57006.3,49053.99,65075.94,1,,,,,1,,,,,1,,,,
12/4/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,38310.6,27430.98,49134.75,1,,,,,1,,,,,1,,,,
12/5/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,27980.19,18489.84,37341.75,1,,,,,1,,,,,1,,,,
12/6/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,24876.69,16533.69,33189.18,1,,,,,1,,,,,1,,,,
12/7/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,21050.61,12386.61,29680.95,1,,,,,1,,,,,1,,,,
12/8/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,16789.44,7805.28,25723.59,1,,,,,1,,,,,1,,,,
12/9/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,12044.43,3534.09,20812.32,1,,,,,1,,,,,1,,,,
12/10/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,9530.58,306.99,21325.59,1,,,,,1,,,,,1,,,,
12/11/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,13888.89,5017.68,23590.14,1,,,,,1,,,,,1,,,,
12/12/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,38245.98,28732.11,47710.35,1,,,,,1,,,,,1,,,,
12/13/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,26697.18,17515.47,35795.7,1,,,,,1,,,,,1,,,,
12/14/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,119171.85,108378.69,129964.5,1,,,,,1,,,,,1,,,,
12/15/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,125131.44,109672.38,140516.34,1,,,,,1,,,,,1,,,,
12/16/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,112656.45,97079.76,128179.44,1,,,,,1,,,,,1,,,,
12/17/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,136336.68,121976.28,150639.57,1,,,,,1,,,,,1,,,,
12/18/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,101661.48,86916.03,116390.58,1,,,,,1,,,,,1,,,,
12/19/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,76970.79,64916.34,89103.18,1,,,,,1,,,,,1,,,,
12/20/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,94867.23,80907.99,108836.55,1,,,,,1,,,,,1,,,,
12/21/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,77051.67,65894.67,88293.09,1,,,,,1,,,,,1,,,,
12/22/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,111655.95,97692.24,125602.68,1,,,,,1,,,,,1,,,,
12/23/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,109737.99,94533.42,124901.34,1,,,,,1,,,,,1,,,,
12/24/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,82485.15,69275.01,95744.76,1,,,,,1,,,,,1,,,,
12/25/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,64630.59,56369.37,73020.27,1,,,,,1,,,,,1,,,,
12/26/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,174223.8,161366.43,187126.14,1,,,,,1,,,,,1,,,,
12/27/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,179989.44,168256.89,191775.75,1,,,,,1,,,,,1,,,,
12/28/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,112914.27,97548.09,128229.72,1,,,,,1,,,,,1,,,,
12/29/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,117957.96,103532.7,132344.46,1,,,,,1,,,,,1,,,,
12/30/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,101347.11,86626.71,116051.91,1,,,,,1,,,,,1,,,,
12/31/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,85520.88,72068.19,99013.47,1,,,,,1,,,,,1,,,,
1/1/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,64049.79,55760.31,72466.56,1,,,,,1,,,,,1,,,,
1/2/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,76232.16,65345.43,87196.5,1,,,,,1,,,,,1,,,,
1/3/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,64045.05,56286.3,71942.16,1,,,,,1,,,,,1,,,,
1/4/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,44429.73,34045.17,54832.65,1,,,,,1,,,,,1,,,,
1/5/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,30441.18,20383.17,40361.22,1,,,,,1,,,,,1,,,,
1/6/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,26436.48,17431.29,35366.19,1,,,,,1,,,,,1,,,,
1/7/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,23499.45,15702.69,31290.27,1,,,,,1,,,,,1,,,,
1/8/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,26317.02,17312.13,35281.11,1,,,,,1,,,,,1,,,,
1/9/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,53651.46,42770.31,64472.52,1,,,,,1,,,,,1,,,,
1/10/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,78073.23,67747.65,88473.78,1,,,,,1,,,,,1,,,,
1/11/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,133697.79,119359.38,148006.38,1,,,,,1,,,,,1,,,,
1/12/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,148930.44,135660.3,162221.22,1,,,,,1,,,,,1,,,,
1/13/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,125856.36,110530.5,141108.93,1,,,,,1,,,,,1,,,,
1/14/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,123372.33,108808.71,137928.72,1,,,,,1,,,,,1,,,,
1/15/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,148304.34,134525.16,162065.34,1,,,,,1,,,,,1,,,,
1/16/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,94482.24,80311.5,108661.17,1,,,,,1,,,,,1,,,,
1/17/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,71867.55,61305.72,82530.48,1,,,,,1,,,,,1,,,,
1/18/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,52969.62,44503.56,61539.6,1,,,,,1,,,,,1,,,,
1/19/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,39602.58,28761.93,50403.69,1,,,,,1,,,,,1,,,,
1/20/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,28399.59,18792.51,37869.33,1,,,,,1,,,,,1,,,,
1/21/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,25603.5,16937.19,34222.11,1,,,,,1,,,,,1,,,,
1/22/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,22310.55,14348.34,30262.08,1,,,,,1,,,,,1,,,,
1/23/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,18979.32,9641.85,28259.01,1,,,,,1,,,,,1,,,,
1/24/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,14959.29,6511.86,23378.49,1,,,,,1,,,,,1,,,,
1/25/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,10846.98,1880.4,20755.83,1,,,,,1,,,,,1,,,,
1/26/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,9214.8,260.73,20576.43,1,,,,,1,,,,,1,,,,
1/27/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,8649.06,782.94,17093.64,1,,,,,1,,,,,1,,,,
1/28/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,10165.44,1505.22,19695.66,1,,,,,1,,,,,1,,,,
1/29/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,9136.74,345.51,20053.38,1,,,,,1,,,,,1,,,,
1/30/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,8475.63,721.53,16618.05,1,,,,,1,,,,,1,,,,
1/31/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,7176.06,56.19,14717.91,1,,,,,1,,,,,1,,,,
2/1/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,6047.97,0,13977.33,1,,,,,1,,,,,1,,,,
2/2/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,5107.5,0,13502.97,1,,,,,1,,,,,1,,,,
2/3/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,4230.6,0,12091.02,1,,,,,1,,,,,1,,,,
2/4/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,3479.43,0,10905.66,1,,,,,1,,,,,1,,,,
2/5/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,2942.07,0,11372.4,1,,,,,1,,,,,1,,,,
2/6/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,2534.55,0,11717.67,1,,,,,1,,,,,1,,,,
2/7/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,2223.15,0,11682.03,1,,,,,1,,,,,1,,,,
2/8/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,1968.24,0,11632.53,1,,,,,1,,,,,1,,,,
2/9/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,1757.64,0,11124.39,1,,,,,1,,,,,1,,,,
2/10/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,10587.57,5915.46,19754.4,1,,,,,1,,,,,1,,,,
2/11/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,62071.38,52695.21,71444.37,1,,,,,1,,,,,1,,,,
2/12/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,88252.02,74949.39,101591.73,1,,,,,1,,,,,1,,,,
2/13/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,115603.89,100077.75,131071.77,1,,,,,1,,,,,1,,,,
2/14/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,102510.33,87696.87,117303.63,1,,,,,1,,,,,1,,,,
2/15/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,84350.91,70991.85,97754.01,1,,,,,1,,,,,1,,,,
2/16/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,108332.52,93719.43,122919.36,1,,,,,1,,,,,1,,,,
2/17/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,105917.1,90830.55,120971.43,1,,,,,1,,,,,1,,,,
2/18/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,112295.01,96698.1,127839.18,1,,,,,1,,,,,1,,,,
2/19/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,90394.95,76552.26,104261.4,1,,,,,1,,,,,1,,,,
2/20/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,101405.25,86710.59,116084.49,1,,,,,1,,,,,1,,,,
2/21/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,71967.9,61482.69,82555.89,1,,,,,1,,,,,1,,,,
2/22/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,2,AV,53823.54,45520.14,62231.73,1,,,,,1,,,,,1,,,,
