Date,Year,Month,WaterYear,Discharge626_Q_level,Discharge626_Q_flags,Discharge626,Discharge626_Min,Discharge626_Max,Discharge1015_Q_level,Discharge1015_Q_flags,Discharge1015,Discharge1015_Min,Discharge1015_Max,Discharge693_Q_level,Discharge693_Q_flags,Discharge693,Discharge693_Min,Discharge693_Max,Discharge703_Q_level,Discharge703_Q_flags,Discharge703,Discharge703_Min,Discharge703_Max,Discharge708_Q_level,Discharge708_Q_flags,Discharge708,Discharge708_Min,Discharge708_Max,Discharge819_Q_level,Discharge819_Q_flags,Discharge819,Discharge819_Min,Discharge819_Max,Discharge844_Q_level,Discharge844_Q_flags,Discharge844,Discharge844_Min,Discharge844_Max
9/16/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,0.014289931,0,0.108901042,1,,,,,1,,,,
9/17/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,0.013283681,0,0.106363194,1,,,,,1,,,,
9/18/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,0.013234375,0,0.106573958,1,,,,,1,,,,
9/19/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,0.012183681,0,0.106915972,1,,,,,1,,,,
9/20/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,0.191594792,0.106973264,0.291564583,1,,,,,1,,,,
9/21/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,AV:SVC:1/288 AV:287/288 SVC,0.108937847,0.006410069,0.233704861,1,,,,,1,,,,
9/22/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.257639931,0.153469097,0.366212153,1,,,,,1,,,,
9/23/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.677520833,0.555123611,0.800367361,1,,,,,1,,,,
9/24/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.406403472,0.280761458,0.530962847,1,,,,,1,,,,
9/25/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.315588542,0.208115972,0.42181875,1,,,,,1,,,,
9/26/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.301779167,0.203478472,0.399735764,1,,,,,1,,,,
9/27/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.428042708,0.317648958,0.537612153,1,,,,,1,,,,
9/28/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.538761458,1.39875,1.678807292,1,,,,,1,,,,
9/29/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,2.051990625,1.941084028,2.163865625,1,,,,,1,,,,
9/30/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.826284375,1.699075347,1.95364375,1,,,,,1,,,,
10/1/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.506001736,1.340407292,1.670982292,1,,,,,1,,,,
10/2/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.335810069,1.155045833,1.515885764,1,,,,,1,,,,
10/3/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.995032639,0.838910764,1.151596181,1,,,,,1,,,,
10/4/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.837767708,0.717627083,0.959111458,1,,,,,1,,,,
10/5/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.282406944,1.146285764,1.419090278,1,,,,,1,,,,
10/6/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.043148958,0.883171528,1.203398958,1,,,,,1,,,,
10/7/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.118695833,0.953117708,1.284293403,1,,,,,1,,,,
10/8/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.847670486,0.717952083,0.978475,1,,,,,1,,,,
10/9/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.611123264,0.511844444,0.711503125,1,,,,,1,,,,
10/10/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.421051042,0.295187847,0.545991667,1,,,,,1,,,,
10/11/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.320015278,0.211404167,0.427235764,1,,,,,1,,,,
10/12/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.289720833,0.192354514,0.386712847,1,,,,,1,,,,
10/13/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.249676389,0.152390972,0.346666319,1,,,,,1,,,,
10/14/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.206310764,0.100021875,0.311957639,1,,,,,1,,,,
10/15/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.161794097,0.0675,0.255955556,1,,,,,1,,,,
10/16/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.122806944,0.017812153,0.241920833,1,,,,,1,,,,
10/17/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.106073264,0.003453819,0.234940972,1,,,,,1,,,,
10/18/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.098785417,0.008638542,0.194148264,1,,,,,1,,,,
10/19/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.084196875,0.001027431,0.171490625,1,,,,,1,,,,
10/20/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.069950347,0,0.161752431,1,,,,,1,,,,
10/21/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.057710764,0,0.155378472,1,,,,,1,,,,
10/22/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.048949306,0,0.139654514,1,,,,,1,,,,
10/23/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.042400694,0,0.128117708,1,,,,,1,,,,
10/24/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.036893403,0,0.126626389,1,,,,,1,,,,
10/25/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.033675,0,0.132331597,1,,,,,1,,,,
10/26/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.031152431,0,0.135688542,1,,,,,1,,,,
10/27/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.040070139,0,0.127903819,1,,,,,1,,,,
10/28/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.036569792,0,0.12800625,1,,,,,1,,,,
10/29/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.031241667,0,0.135444097,1,,,,,1,,,,
10/30/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.028490972,0,0.135520833,1,,,,,1,,,,
10/31/2013,2013,Oct,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.028995833,0,0.135597917,1,,,,,1,,,,
11/1/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.038829167,0,0.138060764,1,,,,,1,,,,
11/2/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.047211806,0,0.136877083,1,,,,,1,,,,
11/3/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.037568403,0,0.126563542,1,,,,,1,,,,
11/4/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.032616667,0,0.133967708,1,,,,,1,,,,
11/5/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.0318,0,0.13519375,1,,,,,1,,,,
11/6/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV:EV:285/288 AV:3/288 EV,0.074136111,0.002039236,0.164091319,1,,,,,1,,,,
11/7/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.274615625,1.149365625,1.402353125,1,,,,,1,,,,
11/8/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.839886458,0.732120486,0.948651389,1,,,,,1,,,,
11/9/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.119041667,0.958206944,1.279998611,1,,,,,1,,,,
11/10/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.719653125,0.622685417,0.818067014,1,,,,,1,,,,
11/11/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.577544444,0.453425347,0.701981597,1,,,,,1,,,,
11/12/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.577581944,1.431342708,1.723793056,1,,,,,1,,,,
11/13/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.277604514,1.103027431,1.451726736,1,,,,,1,,,,
11/14/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.997395486,0.841082986,1.154139583,1,,,,,1,,,,
11/15/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,2.428289931,2.291596528,2.566710764,1,,,,,1,,,,
11/16/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.409543056,1.237642014,1.580807986,1,,,,,1,,,,
11/17/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.078211806,0.915427431,1.241147222,1,,,,,1,,,,
11/18/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.897338194,0.757772569,1.037776042,1,,,,,1,,,,
11/19/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.610440625,0.509950694,0.711958333,1,,,,,1,,,,
11/20/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.381529861,0.260172917,0.501546181,1,,,,,1,,,,
11/21/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.314703819,0.207291667,0.420909375,1,,,,,1,,,,
11/22/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.284035764,0.189267361,0.378546528,1,,,,,1,,,,
11/23/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.244029167,0.142910069,0.344732292,1,,,,,1,,,,
11/24/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.207094097,0.100680556,0.312856597,1,,,,,1,,,,
11/25/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.159843403,0.064052431,0.255535417,1,,,,,1,,,,
11/26/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.116437153,0.009329514,0.245032986,1,,,,,1,,,,
11/27/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.107446875,0.005076042,0.234571875,1,,,,,1,,,,
11/28/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.246150694,0.150837153,0.341239236,1,,,,,1,,,,
11/29/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.215326736,0.109763194,0.320272569,1,,,,,1,,,,
11/30/2013,2013,Nov,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.391459028,0.289956944,0.492732639,1,,,,,1,,,,
12/1/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.465535417,1.312367361,1.619007639,1,,,,,1,,,,
12/2/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.939662847,0.791469444,1.088529861,1,,,,,1,,,,
12/3/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.659795139,0.567754514,0.75319375,1,,,,,1,,,,
12/4/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.443409722,0.317488194,0.568689236,1,,,,,1,,,,
12/5/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.323844792,0.214002778,0.432196181,1,,,,,1,,,,
12/6/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.287924653,0.191362153,0.384134028,1,,,,,1,,,,
12/7/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.243641319,0.143363542,0.343529514,1,,,,,1,,,,
12/8/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.194322222,0.090338889,0.297726736,1,,,,,1,,,,
12/9/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.139403125,0.040903819,0.240883333,1,,,,,1,,,,
12/10/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.110307639,0.003553125,0.246823958,1,,,,,1,,,,
12/11/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.160751042,0.058075,0.273034028,1,,,,,1,,,,
12/12/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.442661806,0.332547569,0.552203125,1,,,,,1,,,,
12/13/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.308995139,0.202725347,0.414302083,1,,,,,1,,,,
12/14/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.379303819,1.254382986,1.50421875,1,,,,,1,,,,
12/15/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.448280556,1.26935625,1.626346528,1,,,,,1,,,,
12/16/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.303894097,1.123608333,1.483558333,1,,,,,1,,,,
12/17/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.577970833,1.4117625,1.743513542,1,,,,,1,,,,
12/18/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.1766375,1.005972569,1.347113194,1,,,,,1,,,,
12/19/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.890865625,0.751346528,1.031286806,1,,,,,1,,,,
12/20/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.098000347,0.936435069,1.259682292,1,,,,,1,,,,
12/21/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.891801736,0.762669792,1.021910764,1,,,,,1,,,,
12/22/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.292314236,1.130697222,1.453734722,1,,,,,1,,,,
12/23/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.270115625,1.094136806,1.445617361,1,,,,,1,,,,
12/24/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.954689236,0.801794097,1.108156944,1,,,,,1,,,,
12/25/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.748039236,0.652423264,0.845142014,1,,,,,1,,,,
12/26/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,2.016479167,1.867667014,2.165811806,1,,,,,1,,,,
12/27/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,2.083211111,1.947417708,2.219626736,1,,,,,1,,,,
12/28/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.306878125,1.129028819,1.484140278,1,,,,,1,,,,
12/29/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.365254167,1.198295139,1.531764583,1,,,,,1,,,,
12/30/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.172998958,1.002623958,1.343193403,1,,,,,1,,,,
12/31/2013,2013,Dec,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.989825,0.834122569,1.145989236,1,,,,,1,,,,
1/1/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.741317014,0.645373958,0.838733333,1,,,,,1,,,,
1/2/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.882316667,0.756312847,1.00921875,1,,,,,1,,,,
1/3/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.741262153,0.651461806,0.832663889,1,,,,,1,,,,
1/4/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.514232986,0.394041319,0.634637153,1,,,,,1,,,,
1/5/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.352328472,0.235916319,0.46714375,1,,,,,1,,,,
1/6/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.305977778,0.201751042,0.409330903,1,,,,,1,,,,
1/7/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.271984375,0.181744097,0.362155903,1,,,,,1,,,,
1/8/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.304595139,0.200371875,0.408346181,1,,,,,1,,,,
1/9/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.620965972,0.495026736,0.746209722,1,,,,,1,,,,
1/10/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.903625347,0.784116319,1.024002083,1,,,,,1,,,,
1/11/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.547428125,1.381474306,1.713036806,1,,,,,1,,,,
1/12/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.723731944,1.570142361,1.877560417,1,,,,,1,,,,
1/13/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.456670833,1.279288194,1.633205208,1,,,,,1,,,,
1/14/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.427920486,1.259360069,1.596397222,1,,,,,1,,,,
1/15/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.716485417,1.557004167,1.87575625,1,,,,,1,,,,
1/16/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.093544444,0.92953125,1.257652431,1,,,,,1,,,,
1/17/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.831800347,0.709556944,0.955213889,1,,,,,1,,,,
1/18/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.613074306,0.5150875,0.712263889,1,,,,,1,,,,
1/19/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.458363194,0.332892708,0.583376042,1,,,,,1,,,,
1/20/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.328698958,0.217505903,0.438302431,1,,,,,1,,,,
1/21/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.296336806,0.196032292,0.396089236,1,,,,,1,,,,
1/22/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.258223958,0.16606875,0.350255556,1,,,,,1,,,,
1/23/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.219668056,0.111595486,0.327071875,1,,,,,1,,,,
1/24/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.173139931,0.07536875,0.270584375,1,,,,,1,,,,
1/25/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.12554375,0.021763889,0.240229514,1,,,,,1,,,,
1/26/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.106652778,0.003017708,0.238153125,1,,,,,1,,,,
1/27/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.100104861,0.009061806,0.197843056,1,,,,,1,,,,
1/28/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.117655556,0.017421528,0.227959028,1,,,,,1,,,,
1/29/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.105749306,0.003998958,0.232099306,1,,,,,1,,,,
1/30/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.098097569,0.008351042,0.192338542,1,,,,,1,,,,
1/31/2014,2014,Jan,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.08305625,0.000650347,0.170346181,1,,,,,1,,,,
2/1/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.069999653,0,0.161774653,1,,,,,1,,,,
2/2/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.059114583,0,0.156284375,1,,,,,1,,,,
2/3/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.048965278,0,0.139942361,1,,,,,1,,,,
2/4/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.040271181,0,0.126222917,1,,,,,1,,,,
2/5/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.034051736,0,0.131625,1,,,,,1,,,,
2/6/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.029335069,0,0.135621181,1,,,,,1,,,,
2/7/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.025730903,0,0.135208681,1,,,,,1,,,,
2/8/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.022780556,0,0.134635764,1,,,,,1,,,,
2/9/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.020343056,0,0.128754514,1,,,,,1,,,,
2/10/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.122541319,0.068465972,0.228638889,1,,,,,1,,,,
2/11/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.71841875,0.609898264,0.826902431,1,,,,,1,,,,
2/12/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.021435417,0.867469792,1.175830208,1,,,,,1,,,,
2/13/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.338007986,1.158307292,1.517034375,1,,,,,1,,,,
2/14/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.186462153,1.015010069,1.357680903,1,,,,,1,,,,
2/15/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,0.976283681,0.821664931,1.131412153,1,,,,,1,,,,
2/16/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.253848611,1.084715625,1.422677778,1,,,,,1,,,,
2/17/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.225892361,1.051279514,1.400132292,1,,,,,1,,,,
2/18/2014,2014,Feb,2013-2014,1,,,,,1,,,,,1,,,,,1,,,,,2,AV,1.299710764,1.119190972,1.479620139,1,,,,,1,,,,
